"title","price","url"
"Samsung BN94-01212A (BN41-00840A) Main Board for HPT5064X/XAA","$30.00","https://www.ebay.com/itm/Samsung-BN94-01212A-BN41-00840A-Main-Board-for-HPT5064X-XAA/254188071418?hash=item3b2eca29fa:g:aA0AAOSw7VJcpV0C"
"SAMSUNG UN50H5203AFXZA MAIN BOARD# BN94-07741D","$21.00","https://www.ebay.com/itm/SAMSUNG-UN50H5203AFXZA-MAIN-BOARD-BN94-07741D/281910512002?epid=1840143367&hash=item41a32d0982:g:glsAAOSwKhFclkzz"
"SAMSUNG UN55MU6290FXZA MAIN BOARD# BN94-12642D","$48.00","https://www.ebay.com/itm/SAMSUNG-UN55MU6290FXZA-MAIN-BOARD-BN94-12642D/303207810340?epid=8012276930&hash=item4698980524:g:R4AAAOSwq4ZdGSEW"
"Samsung UN55J620DAF LED Smart TV Main Board BN41-02245A BN97-09756Z BN94-09584A","$29.95","https://www.ebay.com/itm/Samsung-UN55J620DAF-LED-Smart-TV-Main-Board-BN41-02245A-BN97-09756Z-BN94-09584A/192969635398?epid=10023764601&hash=item2cede2f646:g:vBAAAOSwJcxcnpzd:sc:FedExHomeDelivery!48823!US!-1"
"BN94-10800A Samsung Main Board, BN97-10648F, BN41-02528A, UN50KU6300FXZA (353)","$34.00","https://www.ebay.com/itm/BN94-10800A-Samsung-Main-Board-BN97-10648F-BN41-02528A-UN50KU6300FXZA-353/323815964188?epid=1881534022&hash=item4b64ef7e1c:g:7ugAAOSwT61c6AMA"
"BN94-08076A MAIN BOARD SAMSUNG UN55HU68400FXZA KS02 2/158","$46.00","https://www.ebay.com/itm/BN94-08076A-MAIN-BOARD-SAMSUNG-UN55HU68400FXZA-KS02-2-158/273896345332?epid=1455087593&hash=item3fc57e8ef4:g:hrEAAOSwdpxc9ZLD"
"BN94-07557A for Samsung BN59-01181D BN59-01184 RMCTPH1AP1 TV Remote Control","$26.99","https://www.ebay.com/itm/BN94-07557A-for-Samsung-BN59-01181D-BN59-01184-RMCTPH1AP1-TV-Remote-Control/153543114774?hash=item23bfe20016:g:SQUAAOSwfodc95HI"
"BN94-05038C Main Board BN97-06022A Samsung UN46D6000SF UN46D6000SFXZA Ver H302","$64.90","https://www.ebay.com/itm/BN94-05038C-Main-Board-BN97-06022A-Samsung-UN46D6000SF-UN46D6000SFXZA-Ver-H302/123815760138?hash=item1cd3fe910a:g:~akAAOSw8Vxc9Ig5"
"OEM Main AV Board BN97-12365A BN94-9065X - Samsung 55"" LED UN55J6201 Smart TV","$16.99","https://www.ebay.com/itm/OEM-Main-AV-Board-BN97-12365A-BN94-9065X-Samsung-55-LED-UN55J6201-Smart-TV/163724370386?hash=item261ebba1d2:g:2FsAAOSwfCZc-rdJ:sc:USPSFirstClass!48823!US!-1"
"Samsung BN94-01226A (BN41-00840A) Main Board for HPT4254X/XAA","$18.00","https://www.ebay.com/itm/Samsung-BN94-01226A-BN41-00840A-Main-Board-for-HPT4254X-XAA/192930966866?hash=item2ceb94ed52:g:p34AAOSwdwRc7Mxh"
"Samsung UN60J6200AFXZA Main Board BN94-09127A BN97-09529T","$20.76","https://www.ebay.com/itm/Samsung-UN60J6200AFXZA-Main-Board-BN94-09127A-BN97-09529T/323603010123?epid=859288007&hash=item4b583e124b:g:TPMAAOSw9GhYaANp"
"BN94-10057N","$89.95","https://www.ebay.com/itm/BN94-10057N/264357460751?epid=1655126700&hash=item3d8ceebb0f:g:6FEAAOSwUYpc~uUJ:sc:USPSPriority!48823!US!-1"
