sku,title,"Quantity Sold","Avg. Price","Total Sales Volume"
8184718,"Whirlpool Oven Range Control Board (AP3137864, 9782450) 8184718",5,109.9500000000000000,549.75
UN50NU6900B-USED-1,"Samsung UN50NU6900FXZA UN55NU6900FXZA UN49RU800D Stand Legs W/Screws - USED",5,39.9500000000000000,199.75
00411253,"Bosch Range Oven CookTop Gas Solenoid 00411253",5,99.9500000000000000,499.75
55.50T20.C03,"Element / Seiki / Westinghouse T-Con Board (42T34-C01) 55.50T20.C03",5,8.3520000000000000,41.76
00424491,"Bosch Oven Range Knob (AP3782903, 00423482) 00424491",5,17.9500000000000000,89.75
BN59-01199F-NEW,"NEW Original Samsung UN40J5200AFXZA OEM Smart TV Remote Control BN59-01199F",5,14.9500000000000000,74.75
D65-E0-USED,"Vizio D65-E0 & E65-E0 Stand Legs W/Screws - Used",5,34.9500000000000000,174.75
E65-E1-NEW,"Vizio E65-E1 Stand Legs W/Screws - New",5,39.9500000000000000,199.75
65R617-NEW,"TCL 65R617 55R617 55R615 65R615 Stand Legs W/Screws-NEW(68-600550-0CA)",5,49.9500000000000000,249.75
BN44-00499A,"Samsung UN55EH6000F UN55EH6050F Power Supply Board BN44-00499A",5,59.9500000000000000,299.75
UN65NU8000FXZA-STAND-USED,"Samsung UN65NU8000FXZA Stand W/Screws - USED",5,79.9500000000000000,399.75
00111203302-USED,"Vizio V605-G3 V655-G9 V656-G4 V705-G3 V755-G4 XRT136 Remote 00111203302 - USED",5,8.9500000000000000,44.75
QN65Q9FNAFXZA-STAND-NEW,"Samsung QN65Q9FNAFXZA Stand Legs Base W/Screws - NEW",5,79.9500000000000000,399.75
EBT64418603,"LG 65UJ7700-UA BUSYLJR Main Board (LC650EGE-FKM1, EAX67187104) EBT64418603",5,86.9500000000000000,434.75
BN94-12295K,"Samsung UN65MU8000FXZA Main Board BN94-12295K",5,146.9520000000000000,734.76
1-849-276-11-NEW,"Original New Sony LED HD 4K TV Mini Plug Video Apapter 1-849-276-11",5,7.9900000000000000,39.95
BN94-14750Q,"Samsung UN40N5200AFXZA Main Board (BN97-14518G) BN94-14750Q",5,49.9500000000000000,249.75
55.50T32.C10,"Element EL4KAMZ5017T / Vizio E50X-E1 T-Con Board 55.50T32.C10",5,9.9500000000000000,49.75
EAT63435701,"LG 43LJ550M 55LJ5500 Wireless Wifi Adapter Module EAT63435701",5,29.9500000000000000,149.75
EAT63377302,"LG OLED55B8PUA 43UK6300PUE Wireless Wifi Adapter Module EAT63377302",4,19.9500000000000000,79.80
P502UI-B1-USED,"Vizio P502UI-B1 P502UI-B1E TV Stand With Screws - Used",4,48.7125000000000000,194.85
A-2201-064-A,"Sony XBR-85X850F XBR-75X850F XBR-65X850F Main Board A-2201-064-A",4,139.9500000000000000,559.80
ADTVF1925AB1,"Vizio D50u-D1 Power Supply (715G6960-P01-004-002S) ADTVF1925AB1",4,59.9500000000000000,239.80
39665A-39666A-16-14,"Samsung LED Backlight Strip Set (16) for UN65JU7100FXZA UN65JU750DFXZA",4,39.9500000000000000,159.80
08-L171WD2-PW200AA,"TCL 65S425 65S421 65S423 65S4 Power Supply 08-L171WD2-PW200AA",4,39.9500000000000000,159.80
UN48J-SWIVEL-NEW-6,"Samsung UN50MU6300F UN50MU630DF UN55J6300AF Swivel Stand W/Screws-NEW",4,34.9500000000000000,139.80
55H7B2-USED,"Hisense 55H7B2 Stand Legs W/Screws-USED(39482-178784-1663-01144)",4,34.9500000000000000,139.80
49H6E-USED,"Hisense 49H6E Stand Legs W/Screws - USED(92679-218785-181H-0194)",4,19.9500000000000000,79.80
X325BV-FSR-REM-NEW,"Sceptre U550CV-UMR X325BV-FSR U405CV-UMR X505BV-FSR TV Remote Control NEW",4,13.9500000000000000,55.80
08-AU43CUN-OC402AA,"TCL 43S405 43S403 Main Board (08-MST1001-MA200AA) 08-AU43CUN-OC402AA Version 1",4,29.9500000000000000,119.80
1-493-326-11,"Sony XBR-55X900E 19.5V 10.26 A AC Adapter (ACDP-200D02) 1-493-326-11",4,64.9500000000000000,259.80
81-PBE050-H92,"TCL 48FS3750 50FS3800 50FS3850 55FS3750 Power Supply 81-PBE050-H92",4,17.9500000000000000,71.80
BN94-12530L,"Samsung UN50MU6300FXZA Main Board (BN97-13669A) BN94-12530L",4,79.9500000000000000,319.80
NS-32DF310NA19-USED,"Insignia NS-32DF310NA19 NS-32DF310CA19 Stand Legs W/Screws-USED(P34T3322AD)",4,29.9500000000000000,119.80
08-CS55TML-LC335AA,"TCL 55R617 55R615 Main Board (08-MS10M02-MA200AA) 08-CS55TML-LC335AA",4,39.9500000000000000,159.80
15820,"Samsung UN49KS8000F UN49KS8500F UN55KS8000F UN55KS8500F TV Leg Stand - USED",4,59.9500000000000000,239.80
POLAREM2-NEW,"Polaroid 32GSR3000FB 40GSR3000FB Remote NEW",4,14.9500000000000000,59.80
PLTVFY751AAU4,"Sharp LC-50LB481U Power Supply (715G8095-P01-000-003S) PLTVFY751AAU4",4,37.9625000000000000,151.85
BN96-28772A-28773A-1,"Samsung UN55H6203AFXZA LED Backlight Strip Set 10- BN96-28772A BN96-28773A",4,47.4500000000000000,189.80
BN59-01300A-NEW,"Genuine OEM Samsung QN65Q9FNAFXZA QN75Q9FNAFXZA TV Remote BN59-01300A NEW",4,79.9500000000000000,319.80
BN96-35223A-BN96-38964W-16-1,,4,34.9500000000000000,139.80
BN96-35223A-BN96-38964W-17-1,"Samsung 48 J Series USED",4,59.9500000000000000,239.80
E50-D1-NEW,"Vizio E50-D1 D50F-E1 D55un-E1 E50X-E1 E55-E1 D50-E1 Stand Legs W/Screws - New",4,34.9500000000000000,139.80
BN96-35223A-BN96-38964W-15-1,,4,33.7125000000000000,134.85
A-2167-843-A,"Sony XBR-65X900E JK Power Input Mount (1-982-024-11, A2167843A) A-2167-843-A",4,59.9500000000000000,239.80
09-70CAR0D0-00,"Vizio E70-E3 Power Supply Board (1P-1171X00-1013) 09-70CAR0D0-00",4,49.9500000000000000,199.80
BN96-36499F-NEW,"Samsung UN32J4000AFXZA UN32M4500AF Stand Legs W/Screws - NEW(BN96-36499F)",4,19.9500000000000000,79.80
CIR-CIR-3,"Sharp LC-43LB371UB LC-50LB481C LC-50LB370U LC-55Q620U Power Cord NEW",4,8.9500000000000000,35.80
08-MST1003-MA200AA,"TCL 65S425 43S425 55S425 50S425 65S421 55S421 Main Board 08-MST1003-MA200AA",4,29.9500000000000000,119.80
CIR-SQU-15,"Vizio D39HN-E1 D55X-G1 D43-F1 D40F-F1 D65-F1 D50-F1 V555-G1 Power Cord",4,8.9500000000000000,35.80
BN96-34102A,"Samsung UN55HU6840FXZA T-Con Board (HV550QUB-B10, 47-6021038) BN96-34102A",4,18.9500000000000000,75.80
BN96-37296A/BN96-37297A,"Samsung UN48J5200AFXZA LED Backlight Strip Set (8) BN96-37296A BN96-37297A",4,24.9500000000000000,99.80
PW.108W2.683,"Vizio D50X-G9 V505-G9 Power Supply (PW.108W2.683) 6M04C0000X000",4,29.9500000000000000,119.80
55.55T10.C04,"JVC EM55FT EM55FTR / Vizio E550I-B2 T-Con Board 55.55T10.C04",4,9.9500000000000000,39.80
BN96-39055A-39056A-1,"Samsung BN96-39055A/BN96-39056A LED Strips Set (10) for UN55H6203AFXZA",4,39.9500000000000000,159.80
BN96-34776A/BN96-34777A,"Samsung UN65JS9000FXZA LED Backlight Strip Set (4) BN96-34776A BN96-34777A",4,119.9500000000000000,479.80
T8-32NAZP-MA4,"TCL 32S3800 32S3750 Main Board T8-32NAZP-MA4",4,17.9500000000000000,71.80
55.43T10.C03,"Vizio D43F-E2 E43-E2 D43-E2 / Toshiba 43LF621U19 T-Con Board 55.43T10.C03",4,8.9500000000000000,35.80
BN39-02395A-NEW-5,"Samsung QN55Q7FNAFXZA One Connect Fiber Optic Cable BN39-02395A",4,89.9500000000000000,359.80
BN96-28878A-38879A,"Samsung UN43J5200AFXZA Backlight LED Strip Set (8) BN96-38878A BN96-38879A",4,18.9666666666666667,73.90
65PFL5604/F7-NEW,"Philips 65PFL5604/F7 65PFL4864/F7 65PFL5504/F7 Stand Legs W/Screws-NEW",4,49.9500000000000000,199.80
WP3196262,"Whirlpool Oven Range Door Light Switch (3196262, AP6007864) WP3196262",4,19.9500000000000000,79.80
BN59-01298H-NEW,"Samsung QN55Q8FNBF QN65Q6FNAF Smart TV Remote BN59-01298H - NEW",4,43.7125000000000000,174.85
VizioCord-161,"Vizio E55-E1 Power Cord",4,8.9500000000000000,35.80
BN96-34823A,"Samsung UN50JU6500FXZA UN50JS7000FXZA T-Con Board BN96-34823A",4,14.9500000000000000,59.80
LC-58Q620U-USED,"Sharp LC-58Q620U LC-55Q620U LC-50Q620U Stand Legs W/Screws-USED(220886)",4,29.9500000000000000,119.80
55.55T32.C12,"Vizio M55-D0 E55U-D0 M55-E0 T-Con Board (T550QVR07.1) 55.55T32.C12",4,9.9500000000000000,39.80
UN48JU6400-USED,"Samsung UN48JU6400 Stand W/Screws BN61-09997X BN63-11660X - USED",4,39.9500000000000000,159.80
756TXFCB0QK0010,"Vizio M50-C1 Main Board (715G7288-M0C-000-005K) 756TXFCB0QK0010",4,89.9500000000000000,359.80
65UJ7700-STAND-USED,"LG 65UJ7700 65UJ7700UA Stand Legs W/Screws - USED(AAN75792323 AAN75792324)",4,69.9500000000000000,279.80
D50-F1-STAND-NEW,"Vizio D50-F1 D55-F1 E55-F1 V556-G1 Stand Legs W/Screws - NEW(X20T8368)",4,44.9500000000000000,179.80
IF_C47B1679,"Seiki SE43FK & ELEMENT ELST4017 Stand Legs W/Screws - USED(1443KA11)",4,19.9500000000000000,79.80
BN96-32771A/32772A,"Samsung UN58J5190AFXZA LED Backlight Strips Set (12) BN96-32771A BN96-32772A",4,69.9500000000000000,279.80
