"Order Number",SKU,Quantity,Carrier,"Service Level",Tracking,Cost,"Package Weight","Package Length","Package Width","Package Height"
="1056829",="1-897-219-11",="1",FEDEX,"FedEx One Rate® (2Day)",="392962265483",="8.2",,,,
="1056832",="00111203302-NEW-6",="1",USPS,"USPS First Class",="9400111298370179212029",="2.78",,,,
="1056835",="EAT63435701",="1",USPS,"USPS First Class",="9400111298370179247786",="3.18",,,,
="1056828",="3648-0202-0150",="1",USPS,"USPS First Class",="9400111298370179294230",="4",,,,
="1056837",="BN95-01336A",="1",USPS,"USPS First Class",="9400111298370179291734",="3.25",,,,
="1056834",="55.50T20.C21",="1",USPS,"USPS First Class",="9400111298370179222110",="3.67",,,,
="1056833",="1-849-276-11-NEW",="1",USPS,"USPS Priority",="9405511298370179253797",="7.8",,,,
="1056830",="D50-F1-STAND-USED",="1",USPS,"USPS First Class",="9400111298370179258737",="5.7",,,,
="1056836",="PLTVFY751AAU4",="1",USPS,"USPS Priority",="9405511298370179266278",="8.12",,,,
="1056527",="947KIT",="1",USPS,"USPS First Class",="9400111298370179205717",="3.31",,,,
="1056547",="BN94-12640X",="1",USPS,"USPS First Class",="9400111298370179519883",="5.27",,,,
="1056620",="08-L171WD2-PW200AA",="1",FEDEX,"FedEx One Rate® (2Day)",="392963901569",="8.2",,,,
="1056840",="6871L-5403B",="1",USPS,"USPS First Class",="9400111298370179135939",="3.21",,,,
="1056850",="VizioCord-55",="1",USPS,"USPS First Class",="9400111298370179119441",="2.78",,,,
="1056844",="3903-000853-NEW-239",="1",USPS,"USPS First Class",="9400111298370179110271",="2.78",,,,
="1056845",="08-CS43TML-LC204AA",="1",USPS,"USPS First Class",="9400111298370179116341",="5.12",,,,
="1056574",="BN94-12640X",="1",USPS,"USPS Priority",="9405511298370179100961",="11.19",,,,
="1056798",="W10757838",="1",USPS,"USPS Priority",="9405511298370179436954",="9.53",,,,
="1056702",="KDL-48W650D-NEW",="1",USPS,"USPS Priority",="9405511298370179417700",="9.07",,,,
="1056528",="UN55NU8000FXZA-STAND-NEW",="1",USPS,"USPS Priority",="9405511298370179478787",="20.46",,,,
="1056847",="48-55-EH-RECT-NEW-7",="1",FEDEX,"FedEx Home Delivery®",="392964793479",="12.29",,,,
="1056846",="UN48J-SWIVEL-NEW",="1",FEDEX,"FedEx Home Delivery®",="392964862910",="14.53",,,,
="1056608",="UN55JU6500F-USED",="1",FEDEX,"FedEx Home Delivery®",="392964914083",="11.93",,,,
="1056698",="60-RECT-USED",="1",FEDEX,"FedEx Ground®",="392964989195",="12.09",,,,
="1056664",="UN55JU6500F-USED",="1",FEDEX,"FedEx Home Delivery®",="392965050359",="11.45",,,,
="1056548",="A6DFC01F",="1",USPS,"USPS First Class",="9400111298370179407104",="5.27",,,,
="1056841",="BN94-12530L",="1",USPS,"USPS First Class",="9400111298370179630908",="5.08",,,,
="1056843",="BN94-12530L",="1",USPS,"USPS First Class",="9400111298370179613901",="5.4",,,,
="1056849",="08-L301WA4-PW200AN",="1",FEDEX,"FedEx One Rate® (2Day)",="392965273528",="8.2",,,,
="1056531",="08-L14TWA2-PW220AN",="1",USPS,"USPS First Class",="9400111298370179671482",="5.04",,,,
="1056655",="EAY62810601",="1",USPS,"USPS Priority",="9405511298370179691711",="7.56",,,,
="1056626",="",="1",USPS,"USPS First Class",="9400111298370179621982",="2.84",,,,
="1056651",="BN96-35223A-BN96-38964W-19-1",="1",FEDEX,"FedEx Home Delivery®",="392965784530",="19.96",,,,
="1056717",="BN96-38964W-BN96-35223A-43",="1",FEDEX,"FedEx Home Delivery®",="392965853062",="17.21",,,,
="1056733",="342911003613",="1",USPS,"USPS First Class",="9400111298370179986838",="3.23",,,,
="1056710",="UN55JU7100F-USED",="1",FEDEX,"FedEx Home Delivery®",="392966373230",="15.09",,,,
="1056643",="D50X-G9-NEW",="1",USPS,"USPS First Class",="9400111298370174069123",="4.08",,,,
="1056852",="BN96-43169A-NEW",="1",USPS,"USPS First Class",="9400111298370174060892",="2.74",,,,
="1056853",="RMF-TX310U-USED",="1",USPS,"USPS First Class",="9400111298370174080371",="3.39",,,,
="1056854",="170595-V.1",="1",USPS,"USPS Priority",="9405511298370174871729",="8.15",,,,
="1056855",="EBR73749601",="1",USPS,"USPS First Class",="9400111298370174892691",="4.18",,,,
="1056842",="AY115L-4HF01",="1",USPS,"USPS Priority",="9405511298370174317296",="11.18",,,,
="1056838",="08-CS55CUN-OC411AA-1",="1",USPS,"USPS First Class",="9400111298370174345425",="4.46",,,,
="1056848",="08-MST1003-MA200AA",="1",USPS,"USPS First Class",="9400111298370174374890",="4.18",,,,
="1056673",="LBM430P1001-AE-3S",="1",USPS,"USPS First Class",="9400111298370177244442",="4",,,,
="1056890",="CIR-CIR-15",="1",USPS,"USPS First Class",="9400111298370170811955",="3.05",,,,
="1056920",="CIR-CIR-9",="1",USPS,"USPS First Class",="9400111298370170843611",="2.78",,,,
="1056921",="BN59-01301A-NEW-17",="1",USPS,"USPS First Class",="9400111298370170844038",="2.93",,,,
="1056911",="BN61-13518A-NEW",="1",USPS,"USPS Priority",="9405511298370170842167",="7.98",,,,
="1056871",="3903-000853-NEW-73",="1",USPS,"USPS First Class",="9400111298370170846742",="2.78",,,,
